location,operator,route,type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,ground,year,month,day,country,decade,scale
"Brawnson, Nebraska",Boeing Air Transport,,Boeing 95,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1930,Enero,Viernes,EEUU,1930,Sin dato
"Antananarivo, Madagascar",Air Orient,Antananarivo - Paris,Farman 190,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1930,Enero,Lunes,MADAGASCAR,1930,Sin escala
"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,16.0,14.0,2.0,16.0,14.0,2.0,0.0,1930,Enero,Domingo,EEUU,1930,Sin escala
"Off Ceuta, Spain",Aeropostale,Casablanca - Alicante,Latecoere 25,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1930,Enero,Sábado,SPAIN,1930,Sin escala
"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),"Wichita - Kansas City, KS",Travel Air A6000A,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1930,Enero,Lunes,EEUU,1930,Sin escala
"Hartford, Connecticut",Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1930,Febrero,Lunes,EEUU,1930,Sin escala
"Marden, England",Air Union,Paris - Croydon,Farman F-63,6.0,3.0,3.0,2.0,2.0,0.0,0.0,1930,Febrero,Lunes,ENGLAND,1930,Sin escala
"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1930,Abril,Viernes,EEUU,1930,Sin escala
"Buenos Aires, Argentina",Aeropostale,Buenos Aires - Montevideo,Latecoere 28,4.0,2.0,2.0,3.0,1.0,2.0,0.0,1930,Mayo,Sábado,ARGENTINA,1930,Sin escala
"Boston, Massachusetts",Colonial Air Transport,Boston - Newark,Ford Tri-Motor 5,15.0,13.0,2.0,1.0,1.0,0.0,0.0,1930,Junio,Jueves,EEUU,1930,Sin escala
"Bornholm, Denmark",Deutsche Lufthansa,Stettin - Norway,Dornier Wal,8.0,5.0,3.0,5.0,4.0,1.0,0.0,1930,Julio,Lunes,DENMARK,1930,Sin escala
"Arkansas Pass, Texas",Cross Airways,Port Aransas - Kansas City,Lockheed Vega 5,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1930,Julio,Jueves,EEUU,1930,Sin escala
"Near Meopham, Kent, England",Walcot Air Line,"London - Le touquet, France",Junkers F-13ge,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1930,Julio,Lunes,ENGLAND,1930,Sin escala
"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-AT-C Tri Motor,11.0,10.0,1.0,10.0,9.0,1.0,0.0,1930,Agosto,Viernes,CZECHOSLOVAKIA,1930,Sin escala
"Croydon, England",Sabena,Croydon - Brussels,Sabca F-VII,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1930,Septiembre,Jueves,ENGLAND,1930,Sin escala
"Edmonton, Alberta, Canada",Western Canada Airways,Calgary - Moosejaw,Boeing 40,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1930,Septiembre,Jueves,CANADA,1930,Sin escala
"Near Beauvais, France",Military - British Air Ministry,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,54.0,,,48.0,,,0.0,1930,Octubre,Domingo,FRANCE,1930,Sin escala
"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,8.0,6.0,2.0,8.0,6.0,2.0,0.0,1930,Octubre,Lunes,GERMANY,1930,Sin escala
"La Rache, Morocco",Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1930,Octubre,Domingo,MOROCCO,1930,Con escala
"Perth, Australia",Wings Ltd,,de Havilland DH.80 Puss Moth,3.0,2.0,1.0,3.0,2.0,1.0,,1930,Octubre,Lunes,AUSTRALIA,1930,Sin dato
"Prince Rupert, BC, Canada",Alaska-Washington Airways,,Lockheed Vega,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1930,Octubre,Martes,CANADA,1930,Sin dato
"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,6.0,3.0,3.0,3.0,2.0,1.0,0.0,1930,Octubre,Jueves,FRANCE,1930,Sin escala
"Brookston, Indiana",Embry Riddle Company,,Pitcairn PA-6 Mailwing,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1930,Octubre,Jueves,EEUU,1930,Sin dato
