country,all_aboard,total_fatalities,ground,accidentes,survivors
AUSTRALIA,679.0,578.0,0.0,59,101.0
BOLIVIA,735.0,669.0,114.0,46,66.0
BRAZIL,4491.0,3173.0,65.0,173,1318.0
CANADA,2666.0,1761.0,15.0,127,905.0
CHINA,3605.0,2266.0,55.0,93,1339.0
COLOMBIA,3468.0,3020.0,38.0,150,448.0
EEUU,23512.0,14231.0,5780.0,918,9281.0
ENGLAND,2217.0,1374.0,98.0,85,843.0
FRANCE,3328.0,2719.0,23.0,103,609.0
GERMANY,1127.0,768.0,1.0,60,359.0
INDIA,3606.0,2799.0,195.0,104,807.0
INDONESIA,3819.0,2662.0,74.0,99,1157.0
ITALY,2393.0,1814.0,26.0,83,579.0
MEXICO,1646.0,1247.0,63.0,82,399.0
PERU,1864.0,1546.0,4.0,54,318.0
PHILIPPINES,2620.0,1268.0,32.0,72,1352.0
RUSSIA,10622.0,8325.0,90.0,252,2297.0
SPAIN,2301.0,1492.0,2.0,47,809.0
USSR,3619.0,3004.0,0.0,66,615.0
VENEZUELA,1362.0,1177.0,71.0,54,185.0
